company,date,type,URL,text,total engagement,engagement rate,reactions,shares,comments
ERASE (US),"06 Feb, 2020 13:09",photo,https://www.facebook.com/1003344626383879/posts/2915215658530090/,"#Missing
#HelpFindGeorgia
#pleaseshare",4057,8595.338983,292,3745,20
ERASE (US),"11 Oct, 2017 11:13",photo,https://www.facebook.com/helperase/posts/1628762067175462,"FB Community we need your help! Please share this poster and information so we can get this young lady back home. 
#Missing Teen
Florence, NJ
Age: 14
Race: White Sex: Female
Height: 5'02 Weight: 120
Eyes: Hazel Hair: Brown
Last Seen Wearing: Black Sweatshirt w/ Marilyn Monroe on it and black leggings.
Last Known Location/TIme: Roebling NJ Oct 8, 2017
Any information, please contact Florence Township Police Department in NJ. Officer Brian Panero 609-267-8300",1083,5455.919395,32,1030,21
ERASE (US),"27 Jul, 2020 6:25",photo,https://www.facebook.com/1003344626383879/posts/3334595949925390/,"_ôî«_ôî«Recovered and Safe _ôî«_ôî«
If you have any information please contact Colleton County Sheriff's Office's Office at 843-549-2211 or call 911.",856,1807.050876,12,840,4
ERASE (US),"17 Jul, 2019 19:27",link,https://www.facebook.com/1003344626383879/posts/2500053660046294/,"#Missing
#Michigan
#pleaseshare",817,2269.444444,64,751,2
ERASE (US),"08 Mar, 2019 21:52",link,https://www.facebook.com/1003344626383879/posts/2274660109252318/,,752,2354.414527,50,701,1
ERASE (US),"10 Feb, 2020 20:23",photo,https://www.facebook.com/1003344626383879/posts/2924278947623761/,"*****Found Safe*****
#PleaseShare
#Pennsylvania
From WGAL-The Northern Lancaster Regional Police Department, Lancaster County Pennsylvania, is searching for Summer Bechtold, 22-year-old described as 5'4"", 200 lbs., brown hair, blue eyes, wearing a purple jacket, black pants, carry a blue and gray backpack.
Bechtold was last seen in the area of the 1000 block of Lititz Pike, Warwick township, Lancaster County on 02/03/20 at approximately 08:45pm. Police believe this person may be at special risk of harm or injury, or may be confused.
Bechtold is also to be accompanied with Georgia Kelly, 17-year-old white female described as 5äó»3äóť tall, 130lbs, brown hair, hazel eyes, wearing a red sweatshirt, and black sweat pants.

Anyone with information on Bechtold is asked to contact police immediately by calling 911 or the Northern Lancaster Regional Police Department at 717-733-0965.",600,1378.359752,61,535,4
ERASE (US),"09 Aug, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2540693242649002/,"""The sting happened in July and resulted in the identification of 21 minors, rescue of 82 minors and arrest of 67 suspected traffickers. It also prompted 60 federal investigations.""",513,1398.201145,148,359,6
ERASE (US),"26 Feb, 2019 12:19",photo,https://www.facebook.com/1003344626383879/posts/2259906230727706/,"Everyone has the right to live a free life. Human trafficking is the fastest growing crime yet many law enforcement agencies still lack the training needed to identify human trafficking victims and investigate human trafficking crimes. ERASE Child Trafficking is dedicated to empowering law enforcement with the tools and techniques needed to fight human trafficking. To learn more visit erasechildtrafficking.org. 
#endhumantrafficking #leo #makingadifference",511,1607.929515,267,232,12
ERASE (US),"22 Jun, 2017 21:20",link,https://www.facebook.com/helperase/posts/1518934224824914,,499,3130.489335,6,493,0
ERASE (US),"07 Jul, 2019 22:32",link,https://www.facebook.com/1003344626383879/posts/2482011308517196/,"#Missing 19yo's 1998 Honda Civic was found on the San Mateo Bridge on May 4, according to fliers posted by family members.

Anyone with information is asked to call Oakland police at (510) 238-3641, according to a notice from the California Department of Justice.",459,1288.601909,44,410,5
ERASE (US),"07 Feb, 2020 21:09",video,https://www.facebook.com/helperase/videos/210990003405334/,"äť_ĄźŹäť_ĄźŹäť_ĄźŹ Found Safeäť_ĄźŹäť_ĄźŹäť_ĄźŹ
URGENT!  Missing 17 year old.  We need your help!

#Missing
#HelpFindGeorgia
#PleaseShare",415,879.0510485,59,337,19
